type,total_price,carat,price_per_carat,color,shape,length,width,height,clarity,cut,color_intensity,origin,treatment,cut_quality
Pink Sapphire,108,0.54,200,Pink,Cushion,6.06,4.35,2.09,Very Slightly Included,Mixed Brilliant,Very Light,Ceylon (Sri Lanka),No Enhancement,Fair
Purple Sapphire,108,0.27,400,Purple,Oval,4.38,3.35,2.34,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,108,0.27,400,Purple,Oval,4.65,3.61,1.92,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,108,0.54,200,Purple,Round,5.07,5,2.98,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Purple Sapphire,108,0.27,400,Purple,Oval,4.76,3.41,2.1,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,108,0.27,400,Purple,Oval,4.24,3.39,2.2,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,108,0.27,400,Purple,Oval,4.02,3.17,2.68,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,108,0.27,400,Purple,Oval,3.96,3.29,2.5,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,108,0.27,400,Purple,Emerald Cut,4.68,2.68,2.09,Very Slightly Included,Emerald Cut,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Yellow Sapphire,109,0.42,260,Yellowish Green,Round,4.67,4.52,2.84,Very Slightly Included,Mixed Brilliant,Medium Intense,Madagascar,No Enhancement,Fair
Blue Sapphire,110,0.55,200,Blue,Round,4.83,4.78,2.96,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,110,0.38,289,Blue,Trillion,4.57,4.56,2.79,Very Slightly Included,Trillion Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,110,0.5,220,Blue,Oval,6.05,4.1,2.78,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,110,0.22,500,Blue,Fancy,3.87,3.34,2.16,Very Slightly Included,Step Cut,Light,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,110,0.69,159,Blue,Round,5.07,5.14,3.47,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Green Sapphire,110,0.51,216,Green,Asscher - Octagon,4.51,4.46,2.52,Very Slightly Included,Asscher,Intense,Madagascar,Heated,Good
Green Sapphire,110,0.22,500,Green,Fancy,4.2,3.59,2.04,Very Slightly Included,Step Cut,Dark,Ceylon (Sri Lanka),No Enhancement,Good
Green Sapphire,110,0.22,500,Green,Fancy,3.84,3.28,2.54,Slightly Included,Step Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Padparadscha Sapphire,110,0.54,204,Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,5.48,3.96,2.9,Slightly Included,Mixed Brilliant,Very Light,Madagascar,Heated,Good
Pink Sapphire,110,0.22,500,Reddish Pink,Fancy,4.05,3.47,2.25,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,110,0.61,180,Pinkish Purple,Oval,6.08,4.31,2.42,Very Slightly Included,Mixed Brilliant,Medium,Madagascar,Heated,Fair
Pink Sapphire,110,0.22,500,Pink,Fancy,3.92,3.32,2.39,Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,110,0.22,500,Pink,Fancy,3.77,3.16,2.63,Very Slightly Included,Mixed Brilliant,Light,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,110,0.55,200,Pink,Radiant,5.84,3.59,2.89,Very Slightly Included,Radiant Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Purple Sapphire,110,0.22,500,Purple,Fancy,3.9,3.45,2.26,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,110,0.22,500,Purple,Round,3.76,3.77,2.02,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Yellow Sapphire,110,0.49,224,Greenish Yellow,Oval,4.44,4.24,3.06,Very Slightly Included,Mixed Brilliant,Medium Intense,Madagascar,Heated,Fair
Yellow Sapphire,110,0.4,275,Yellowish Green,Asscher - Octagon,4.56,4.49,2.41,Eye Clean,Asscher,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,110,0.55,200,Yellow,Oval,6.13,4.05,2.31,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,111,0.37,300,Blue,Oval,4.97,4.05,2.36,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,111,0.37,300,Pink,Emerald Cut,5.12,3.15,2.37,Slightly Included,Emerald Cut,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,111,0.37,300,Pinkish Purple,Trillion,4.57,4.64,2.78,Very Slightly Included,Trillion Cut,Intense,Ceylon (Sri Lanka),Heated,Good
Purple Sapphire,111,0.41,271,Purple,Round,4.56,4.54,2.92,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Poor
Blue Sapphire,112,0.56,200,Blue,Round,5,4.98,2.76,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,112,0.56,200,Blue,Round,5.09,5.04,2.79,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,112,0.28,400,Blue,Round,4.28,4.34,2.36,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,112,0.28,400,Color Change,Oval,4.62,3.41,2.15,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,112,0.7,160,Blue,Round,4.81,4.79,3.98,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,112,0.28,400,Pink,Oval,4.1,3.21,2.58,Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,112,0.28,400,Violet,Round,4.09,4.05,2.14,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,112,0.28,400,Purple,Round,3.79,3.77,2.22,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,112,0.56,200,Purple,Round,5.14,5.07,2.86,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Purple Sapphire,112,0.28,400,Purple,Oval,4.5,3.53,2.06,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,112,0.28,400,Purple,Oval,4.19,3.28,2.37,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,112,0.51,220,Purple,Oval,6.11,4.11,2.72,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Purple Sapphire,112,0.51,220,Purple,Oval,6.01,4.12,2.88,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Purple Sapphire,112,0.56,200,Purple,Oval,5.66,4.89,2.54,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,112,0.51,220,Orangish Yellow,Round,4.71,4.63,3.26,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,112,0.51,220,Orangish Yellow,Oval,6.01,3.97,2.77,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,112,0.51,220,Orangish Yellow,Oval,6.4,4.16,2.56,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,112,0.56,200,Orangish Yellow,Oval,6.05,4.03,2.93,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Poor
Yellow Sapphire,112,0.56,200,Orangish Yellow,Oval,6.08,4.08,2.72,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,112,0.56,200,Orangish Yellow,Pear,6.41,4.41,3.05,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,112,0.56,200,Yellow,Pear,6.21,4.69,2.64,Eye Clean,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,113,0.42,269,Blue,Trillion,4.59,4.73,2.96,Very Slightly Included,Trillion Cut,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,113,0.45,251,Blue,Trillion,5.03,5.16,3.02,Very Slightly Included,Trillion Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,113,0.45,251,Blue,Oval,5.98,4.02,2.62,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Purple Sapphire,113,0.47,240,Purple,Pear,5.76,4.23,2.43,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,113,0.47,240,Yellow,Cushion,4.89,3.97,2.61,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Poor
Blue Sapphire,114,0.71,161,Blue,Round,5.51,5.48,3.08,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,114,0.71,161,Blue,Round,5.22,5.25,3.51,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,114,0.71,161,Blue,Round,5.06,5.11,3.53,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,114,0.57,200,Blue,Round,4.84,4.85,3.1,Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,114,0.38,300,Pink,Round,4.05,4.1,2.89,Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,114,0.38,300,Pinkish Purple,Round,4.32,4.27,2.67,Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,114,0.57,200,Pinkish Purple,Round,5.23,5.24,2.82,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,114,0.52,219,Pinkish Purple,Oval,6.18,4.18,2.74,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Poor
Purple Sapphire,114,0.52,219,Violet,Oval,6.16,4.11,2.74,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Purple Sapphire,114,0.57,200,Purple,Cushion,4.97,4.81,2.37,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,114,0.57,200,Yellow,Oval,5.16,4.11,2.97,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,114,0.38,300,Yellow,Cushion,4.35,4.31,2.69,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,114,0.57,200,Yellow,Oval,6.1,4.16,2.69,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,114,0.38,300,Yellow,Cushion,4.35,4.31,2.69,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,115,0.23,500,Greyish Blue,Fancy,3.91,3.35,2.58,Very Slightly Included,Step Cut,Medium Light,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,115,0.23,500,Blue,Pear,4.76,3.07,2.02,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,115,0.48,240,Blue,Emerald Cut,5.96,4,2.17,Very Slightly Included,Emerald Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Green Sapphire,115,0.23,500,Green,Fancy,3.96,3.35,2.41,Slightly Included,Step Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,115,0.23,500,Pink,Fancy,3.98,3.55,2.21,Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,115,0.23,500,Purple,Fancy,3.97,3.28,2.53,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Purple Sapphire,115,0.23,500,Purple,Round,3.81,3.86,2.25,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,115,0.23,500,Yellowish Green,Fancy,4.06,3.5,2.17,Slightly Included,Step Cut,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,116,0.58,200,Blue,Round,4.96,4.96,3.05,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,116,0.58,200,Blue,Round,5.27,5.24,2.83,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,116,0.58,200,Blue,Emerald Cut,6.03,4.04,2.31,Eye Clean,Emerald Cut,Light,Ceylon (Sri Lanka),Heated,Fair
Green Sapphire,116,0.42,276,Green,Asscher - Octagon,4.11,4.05,2.87,Eye Clean,Asscher,Intense,Ceylon (Sri Lanka),No Enhancement,Excellent
Pink Sapphire,116,0.46,252,Pink,Oval,6,4.12,2.69,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,116,0.29,400,Pink,Oval,4.47,3.33,2.28,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Purple Sapphire,116,0.29,400,Purple,Oval,4.47,3.33,2.28,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Green Sapphire,117,0.45,260,Green,Round,4.5,4.37,3.05,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,117,0.69,170,Yellow,Pear,7,5.14,3.13,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,118,0.59,200,Blue,Cushion,5.13,5.03,2.42,Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,118,0.59,200,Blue,Round,4.48,4.4,3.66,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,118,0.59,200,Blue,Round,5.02,4.97,2.96,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,118,0.49,241,Blue,Trillion,5.12,5.14,3.01,Very Slightly Included,Trillion Cut,Medium Light,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,118,0.74,159,Blue,Round,5.14,5.15,3.47,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Poor
Pink Sapphire,118,0.59,200,Pinkish Purple,Round,5.07,5.01,3.23,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Poor
Yellow Sapphire,118,0.59,200,Yellow,Pear,6.52,4.48,3.11,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,118,0.59,200,Yellow,Oval,6.01,4.1,3.05,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,118,0.59,200,Yellow,Princess,4.37,4.33,3.43,Very Slightly Included,Princess Cut,Medium,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,119,0.34,350,Pink,Pear,5.81,3.66,2.49,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Purple Sapphire,119,0.54,220,Purple,Oval,6.14,4.13,2.82,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,120,0.24,500,Blue,Fancy,3.97,3.38,2.54,Very Slightly Included,Step Cut,Light,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,120,0.6,200,Blue,Oval,6.2,4.67,2.64,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Poor
Blue Sapphire,120,0.4,300,Blue,Asscher - Octagon,4.27,4.12,2.41,Very Slightly Included,Asscher,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,120,0.24,500,Blue,Fancy,4.08,3.5,2.34,Very Slightly Included,Step Cut,Light,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,120,0.46,261,Blue,Emerald Cut,5.87,3.89,2.13,Very Slightly Included,Emerald Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Green Sapphire,120,0.24,500,Green,Fancy,4.17,3.57,2.34,Slightly Included,Step Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Good
